question,retrieval_method,model,intent,intent_confidence,entities_players,entities_teams,entities_seasons,entities_positions,baseline_records_count,embedding_hits_count,fused_count,cypher_query,retrieval_errors,llm_answer,llm_latency_ms,llm_prompt_tokens,llm_completion_tokens,llm_total_tokens,llm_error
Which defenders had the most clean sheets in 2022-23?,Hybrid (Baseline + BGE),openai/gpt-5-nano,statistics_query,0.33,[],[],['2022-23'],['DEF'],10,0,0,"
    MATCH (s:Season {season_name: $season})-[:HAS_GW]->(:Gameweek)-[:HAS_FIXTURE]->(f:Fixture)
    MATCH (p:Player)-[r:PLAYED_IN]->(f)
    OPTIONAL MATCH (p)-[:PLAYS_AS]->(pos:Position)
    WITH p, pos.name AS position, SUM(r.clean_sheets) AS stat_value, SUM(r.total_points) AS total_points
    RETURN p.player_name AS player, position, stat_value AS clean_sheets, total_points
    ORDER BY stat_value DESC
    LIMIT $limit
    ",Embedding search skipped: no anchor player found.,"Kieran Trippier had the most clean sheets among defenders with 16.

Other defenders’ clean sheets:
- Fabian Schär: 15
- Benjamin White: 15
- Gabriel dos Santos Magalhães: 14",14080,535,758,1293,
Which defenders had the most clean sheets in 2022-23?,Hybrid (Baseline + BGE),google/gemini-2.0-flash-lite-001,statistics_query,0.33,[],[],['2022-23'],['DEF'],10,0,0,"
    MATCH (s:Season {season_name: $season})-[:HAS_GW]->(:Gameweek)-[:HAS_FIXTURE]->(f:Fixture)
    MATCH (p:Player)-[r:PLAYED_IN]->(f)
    OPTIONAL MATCH (p)-[:PLAYS_AS]->(pos:Position)
    WITH p, pos.name AS position, SUM(r.clean_sheets) AS stat_value, SUM(r.total_points) AS total_points
    RETURN p.player_name AS player, position, stat_value AS clean_sheets, total_points
    ORDER BY stat_value DESC
    LIMIT $limit
    ",Embedding search skipped: no anchor player found.,"Kieran Trippier (16 clean sheets) and Benjamin White and Gabriel dos Santos Magalh\u00e3es (15 clean sheets) had the most clean sheets among defenders.
",1790,630,41,671,
Which defenders had the most clean sheets in 2022-23?,Hybrid (Baseline + BGE),meta-llama/llama-3.3-70b-instruct,statistics_query,0.33,[],[],['2022-23'],['DEF'],10,0,0,"
    MATCH (s:Season {season_name: $season})-[:HAS_GW]->(:Gameweek)-[:HAS_FIXTURE]->(f:Fixture)
    MATCH (p:Player)-[r:PLAYED_IN]->(f)
    OPTIONAL MATCH (p)-[:PLAYS_AS]->(pos:Position)
    WITH p, pos.name AS position, SUM(r.clean_sheets) AS stat_value, SUM(r.total_points) AS total_points
    RETURN p.player_name AS player, position, stat_value AS clean_sheets, total_points
    ORDER BY stat_value DESC
    LIMIT $limit
    ",Embedding search skipped: no anchor player found.,"Based on the provided data, the defenders with the most clean sheets are Kieran Trippier with 16 clean sheets, and Fabian Schär, Benjamin White, and Gabriel dos Santos Magalhães, who each have 15 and 14 clean sheets respectively.",14140,552,57,609,
Which defenders had the most clean sheets in 2022-23?,Hybrid (Baseline + MPNet),openai/gpt-5-nano,statistics_query,0.33,[],[],['2022-23'],['DEF'],10,0,0,"
    MATCH (s:Season {season_name: $season})-[:HAS_GW]->(:Gameweek)-[:HAS_FIXTURE]->(f:Fixture)
    MATCH (p:Player)-[r:PLAYED_IN]->(f)
    OPTIONAL MATCH (p)-[:PLAYS_AS]->(pos:Position)
    WITH p, pos.name AS position, SUM(r.clean_sheets) AS stat_value, SUM(r.total_points) AS total_points
    RETURN p.player_name AS player, position, stat_value AS clean_sheets, total_points
    ORDER BY stat_value DESC
    LIMIT $limit
    ",Embedding search skipped: no anchor player found.,,0,0,0,0,"Failed to complete chat request: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 65520. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"",""code"":402,""metadata"":{""provider_name"":null}},""user_id"":""user_2viTl9tgGDFZXaClZiykJAsi57e""}"
Which defenders had the most clean sheets in 2022-23?,Hybrid (Baseline + MPNet),google/gemini-2.0-flash-lite-001,statistics_query,0.33,[],[],['2022-23'],['DEF'],10,0,0,"
    MATCH (s:Season {season_name: $season})-[:HAS_GW]->(:Gameweek)-[:HAS_FIXTURE]->(f:Fixture)
    MATCH (p:Player)-[r:PLAYED_IN]->(f)
    OPTIONAL MATCH (p)-[:PLAYS_AS]->(pos:Position)
    WITH p, pos.name AS position, SUM(r.clean_sheets) AS stat_value, SUM(r.total_points) AS total_points
    RETURN p.player_name AS player, position, stat_value AS clean_sheets, total_points
    ORDER BY stat_value DESC
    LIMIT $limit
    ",Embedding search skipped: no anchor player found.,"Kieran Trippier (16 clean sheets), Fabian Schär (15 clean sheets), and Benjamin White (15 clean sheets) had the most clean sheets among defenders.
",1671,630,37,667,
Which defenders had the most clean sheets in 2022-23?,Hybrid (Baseline + MPNet),meta-llama/llama-3.3-70b-instruct,statistics_query,0.33,[],[],['2022-23'],['DEF'],10,0,0,"
    MATCH (s:Season {season_name: $season})-[:HAS_GW]->(:Gameweek)-[:HAS_FIXTURE]->(f:Fixture)
    MATCH (p:Player)-[r:PLAYED_IN]->(f)
    OPTIONAL MATCH (p)-[:PLAYS_AS]->(pos:Position)
    WITH p, pos.name AS position, SUM(r.clean_sheets) AS stat_value, SUM(r.total_points) AS total_points
    RETURN p.player_name AS player, position, stat_value AS clean_sheets, total_points
    ORDER BY stat_value DESC
    LIMIT $limit
    ",Embedding search skipped: no anchor player found.,"Based on the provided data, the defenders with the most clean sheets are Kieran Trippier with 16 clean sheets, and Fabian Schär, Benjamin White, and Gabriel dos Santos Magalhães, who each have 15 and 14 clean sheets respectively.",3095,552,57,609,
Which defenders had the most clean sheets in 2022-23?,Embeddings Only (BGE),openai/gpt-5-nano,statistics_query,0.33,[],[],['2022-23'],['DEF'],0,0,0,,Embedding search skipped: no anchor player found.,,0,0,0,0,"Failed to complete chat request: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 65520. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"",""code"":402,""metadata"":{""provider_name"":null}},""user_id"":""user_2viTl9tgGDFZXaClZiykJAsi57e""}"
Which defenders had the most clean sheets in 2022-23?,Embeddings Only (BGE),google/gemini-2.0-flash-lite-001,statistics_query,0.33,[],[],['2022-23'],['DEF'],0,0,0,,Embedding search skipped: no anchor player found.,"I am sorry, but the provided context does not contain information about clean sheets for defenders in the 2022-23 season. Therefore, I am unable to answer your question.
",893,130,40,170,
Which defenders had the most clean sheets in 2022-23?,Embeddings Only (BGE),meta-llama/llama-3.3-70b-instruct,statistics_query,0.33,[],[],['2022-23'],['DEF'],0,0,0,,Embedding search skipped: no anchor player found.,"The provided context does not contain information about defenders or clean sheets in the 2022-23 season. Therefore, I cannot provide an answer to this question.",2289,132,33,165,
Which defenders had the most clean sheets in 2022-23?,Embeddings Only (MPNet),openai/gpt-5-nano,statistics_query,0.33,[],[],['2022-23'],['DEF'],0,0,0,,Embedding search skipped: no anchor player found.,,0,0,0,0,"Failed to complete chat request: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 65520. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"",""code"":402,""metadata"":{""provider_name"":null}},""user_id"":""user_2viTl9tgGDFZXaClZiykJAsi57e""}"
Which defenders had the most clean sheets in 2022-23?,Embeddings Only (MPNet),google/gemini-2.0-flash-lite-001,statistics_query,0.33,[],[],['2022-23'],['DEF'],0,0,0,,Embedding search skipped: no anchor player found.,"I am sorry, but I cannot answer this question. The provided context does not contain information about clean sheets or the 2022-23 season.
",1570,130,34,164,
Which defenders had the most clean sheets in 2022-23?,Embeddings Only (MPNet),meta-llama/llama-3.3-70b-instruct,statistics_query,0.33,[],[],['2022-23'],['DEF'],0,0,0,,Embedding search skipped: no anchor player found.,"The provided context does not contain information about the 2022-23 season or defender statistics. Therefore, I cannot answer this question accurately.",1724,132,29,161,
Which players had the highest ICT index in 2021-22?,Baseline Only,openai/gpt-5-nano,statistics_query,1.0,[],[],['2021-22'],[],0,0,0,,"Baseline error: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Multiple result columns with the same name are not supported (line 6, column 47 (offset: 338))
""    RETURN p.player_name AS player, position, stat_value AS total_points, total_points""
                                               ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}",,0,0,0,0,"Failed to complete chat request: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 65520. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"",""code"":402,""metadata"":{""provider_name"":null}},""user_id"":""user_2viTl9tgGDFZXaClZiykJAsi57e""}"
Which players had the highest ICT index in 2021-22?,Baseline Only,google/gemini-2.0-flash-lite-001,statistics_query,1.0,[],[],['2021-22'],[],0,0,0,,"Baseline error: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Multiple result columns with the same name are not supported (line 6, column 47 (offset: 338))
""    RETURN p.player_name AS player, position, stat_value AS total_points, total_points""
                                               ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}","I am sorry, but the provided context does not contain information about the ICT index for the 2021-22 season. Therefore, I am unable to answer your question.
",1561,130,39,169,
Which players had the highest ICT index in 2021-22?,Baseline Only,meta-llama/llama-3.3-70b-instruct,statistics_query,1.0,[],[],['2021-22'],[],0,0,0,,"Baseline error: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Multiple result columns with the same name are not supported (line 6, column 47 (offset: 338))
""    RETURN p.player_name AS player, position, stat_value AS total_points, total_points""
                                               ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}",The context provided is insufficient to answer the question. There is no information about the ICT index or player statistics for the 2021-22 season.,1345,131,31,162,
Which players had the highest ICT index in 2021-22?,Hybrid (Baseline + BGE),openai/gpt-5-nano,statistics_query,1.0,[],[],['2021-22'],[],0,0,0,,"Baseline error: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Multiple result columns with the same name are not supported (line 6, column 47 (offset: 338))
""    RETURN p.player_name AS player, position, stat_value AS total_points, total_points""
                                               ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}; Embedding search skipped: no anchor player found.",,0,0,0,0,"Failed to complete chat request: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 65451. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"",""code"":402,""metadata"":{""provider_name"":null}},""user_id"":""user_2viTl9tgGDFZXaClZiykJAsi57e""}"
Which players had the highest ICT index in 2021-22?,Hybrid (Baseline + BGE),google/gemini-2.0-flash-lite-001,statistics_query,1.0,[],[],['2021-22'],[],0,0,0,,"Baseline error: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Multiple result columns with the same name are not supported (line 6, column 47 (offset: 338))
""    RETURN p.player_name AS player, position, stat_value AS total_points, total_points""
                                               ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}; Embedding search skipped: no anchor player found.","I am sorry, but I cannot answer this question. The provided context does not contain information about the ICT index for the 2021-22 season.
",1742,130,35,165,
Which players had the highest ICT index in 2021-22?,Hybrid (Baseline + BGE),meta-llama/llama-3.3-70b-instruct,statistics_query,1.0,[],[],['2021-22'],[],0,0,0,,"Baseline error: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Multiple result columns with the same name are not supported (line 6, column 47 (offset: 338))
""    RETURN p.player_name AS player, position, stat_value AS total_points, total_points""
                                               ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}; Embedding search skipped: no anchor player found.",The context provided is insufficient to answer this question. There is no information about the ICT index or player statistics for the 2021-22 season.,1278,131,31,162,
Which players had the highest ICT index in 2021-22?,Hybrid (Baseline + MPNet),openai/gpt-5-nano,statistics_query,1.0,[],[],['2021-22'],[],0,0,0,,"Baseline error: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Multiple result columns with the same name are not supported (line 6, column 47 (offset: 338))
""    RETURN p.player_name AS player, position, stat_value AS total_points, total_points""
                                               ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}; Embedding search skipped: no anchor player found.",,0,0,0,0,"Failed to complete chat request: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 65350. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"",""code"":402,""metadata"":{""provider_name"":null}},""user_id"":""user_2viTl9tgGDFZXaClZiykJAsi57e""}"
Which players had the highest ICT index in 2021-22?,Hybrid (Baseline + MPNet),google/gemini-2.0-flash-lite-001,statistics_query,1.0,[],[],['2021-22'],[],0,0,0,,"Baseline error: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Multiple result columns with the same name are not supported (line 6, column 47 (offset: 338))
""    RETURN p.player_name AS player, position, stat_value AS total_points, total_points""
                                               ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}; Embedding search skipped: no anchor player found.","I am sorry, but I cannot answer this question. The provided context does not contain information about the ICT index for the 2021-22 season.
",1877,130,35,165,
Which players had the highest ICT index in 2021-22?,Hybrid (Baseline + MPNet),meta-llama/llama-3.3-70b-instruct,statistics_query,1.0,[],[],['2021-22'],[],0,0,0,,"Baseline error: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Multiple result columns with the same name are not supported (line 6, column 47 (offset: 338))
""    RETURN p.player_name AS player, position, stat_value AS total_points, total_points""
                                               ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}; Embedding search skipped: no anchor player found.",The context provided is insufficient to answer this question. There is no information about the ICT index or player statistics for the 2021-22 season.,1571,131,31,162,
Which players had the highest ICT index in 2021-22?,Embeddings Only (BGE),openai/gpt-5-nano,statistics_query,1.0,[],[],['2021-22'],[],0,0,0,,Embedding search skipped: no anchor player found.,,0,0,0,0,"Failed to complete chat request: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 65316. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"",""code"":402,""metadata"":{""provider_name"":null}},""user_id"":""user_2viTl9tgGDFZXaClZiykJAsi57e""}"
Which players had the highest ICT index in 2021-22?,Embeddings Only (BGE),google/gemini-2.0-flash-lite-001,statistics_query,1.0,[],[],['2021-22'],[],0,0,0,,Embedding search skipped: no anchor player found.,"I am sorry, but the provided context does not contain information about the ICT index for the 2021-22 season. Therefore, I am unable to answer your question.
",931,130,39,169,
Which players had the highest ICT index in 2021-22?,Embeddings Only (BGE),meta-llama/llama-3.3-70b-instruct,statistics_query,1.0,[],[],['2021-22'],[],0,0,0,,Embedding search skipped: no anchor player found.,"!!!!!!!!!!!!!!!!!!!!!!! 

The provided context does not contain information about the ICT index or player performance for the 2021-22 season. Therefore, I cannot provide an answer to this question.",3070,132,59,191,
Which players had the highest ICT index in 2021-22?,Embeddings Only (MPNet),openai/gpt-5-nano,statistics_query,1.0,[],[],['2021-22'],[],0,0,0,,Embedding search skipped: no anchor player found.,,0,0,0,0,"Failed to complete chat request: {""error"":{""message"":""This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 65316. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"",""code"":402,""metadata"":{""provider_name"":null}},""user_id"":""user_2viTl9tgGDFZXaClZiykJAsi57e""}"
Which players had the highest ICT index in 2021-22?,Embeddings Only (MPNet),google/gemini-2.0-flash-lite-001,statistics_query,1.0,[],[],['2021-22'],[],0,0,0,,Embedding search skipped: no anchor player found.,"I am sorry, but I cannot answer this question. The provided context does not contain information about the ICT index or player statistics for the 2021-22 season.
",2654,130,38,168,
Which players had the highest ICT index in 2021-22?,Embeddings Only (MPNet),meta-llama/llama-3.3-70b-instruct,statistics_query,1.0,[],[],['2021-22'],[],0,0,0,,Embedding search skipped: no anchor player found.,The context provided is insufficient to answer this question. There is no information about the ICT index or player statistics for the 2021-22 season.,2199,151,31,182,
